flight_number,departure_time,delay_minutes,aircraft_type,crew_issues,weather_impact
TK202,2025-08-22T14:30:00,0,A320,0,0
TK314,2025-10-02T10:45:00,31,A320,1,0
TK513,2025-09-05T01:45:00,0,B737,0,0
TK352,2025-08-30T16:30:00,0,A321,0,0
TK882,2025-08-27T18:45:00,0,A321,0,0
TK918,2025-10-06T20:00:00,1,A321,1,0
TK466,2025-08-14T06:45:00,48,A320,1,0
TK661,2025-09-03T03:15:00,29,A320,1,0
TK655,2025-09-09T09:15:00,0,A330,0,0
TK561,2025-09-20T07:00:00,0,A320,0,0
TK316,2025-08-14T12:00:00,0,A320,0,0
TK598,2025-09-26T07:30:00,0,A320,0,0
TK140,2025-09-15T06:00:00,0,A321,0,0
TK506,2025-09-19T04:30:00,0,A321,0,0
TK838,2025-09-06T14:15:00,0,A320,0,0
TK497,2025-09-04T08:30:00,22,A321,0,0
TK833,2025-09-06T22:30:00,11,A330,0,0
TK259,2025-10-06T18:15:00,0,A321,0,0
TK745,2025-09-15T11:45:00,9,A330,0,0
TK289,2025-09-10T00:00:00,0,B737,0,0
TK358,2025-09-04T05:45:00,42,A320,0,0
TK333,2025-08-30T23:30:00,29,A321,0,1
TK541,2025-08-22T11:15:00,0,A330,0,0
TK180,2025-08-15T16:15:00,0,B737,0,0
TK324,2025-10-12T18:15:00,30,B737,0,0
TK302,2025-08-18T16:30:00,0,A321,0,0
TK610,2025-08-26T15:00:00,19,A321,0,0
TK870,2025-09-23T03:30:00,0,B737,0,0
TK810,2025-08-22T08:00:00,57,A320,0,0
TK250,2025-09-12T09:30:00,21,A320,0,0
TK671,2025-08-25T01:00:00,0,A330,0,0
TK230,2025-09-23T23:15:00,0,A320,0,0
TK519,2025-09-05T07:45:00,55,B737,0,0
TK252,2025-09-14T17:45:00,0,B737,0,0
TK679,2025-09-10T13:00:00,0,B737,0,0
TK294,2025-09-26T00:45:00,0,A320,0,0
TK464,2025-08-23T21:45:00,0,A330,0,0
TK383,2025-08-27T00:00:00,0,A320,0,0
TK291,2025-08-25T16:45:00,0,A330,0,0
TK198,2025-08-14T08:00:00,0,A320,0,0
TK198,2025-08-14T00:45:00,51,B737,0,1
TK892,2025-09-01T21:15:00,0,B737,0,0
TK953,2025-09-20T01:30:00,9,A321,0,0
TK492,2025-08-31T21:45:00,0,A320,0,0
TK927,2025-08-16T06:00:00,0,A320,0,0
TK499,2025-09-29T11:30:00,0,A321,0,0
TK826,2025-09-21T18:00:00,7,B737,1,0
TK543,2025-09-06T00:45:00,0,A320,0,0
TK295,2025-10-07T12:45:00,37,A321,0,0
TK919,2025-09-27T12:15:00,51,A320,0,0
TK445,2025-09-06T20:15:00,0,A330,0,0
TK157,2025-08-16T00:30:00,1,B737,0,0
TK587,2025-08-29T20:00:00,0,A330,0,0
TK889,2025-09-14T22:30:00,58,B737,1,1
TK168,2025-08-27T16:15:00,0,A321,0,0
TK317,2025-09-17T15:00:00,0,B737,0,0
TK122,2025-08-16T09:15:00,0,B737,0,0
TK861,2025-09-24T00:45:00,0,A321,0,0
TK858,2025-10-11T16:45:00,23,B737,0,0
TK790,2025-08-31T04:45:00,39,A320,0,0
TK655,2025-09-14T12:45:00,5,A321,0,0
TK701,2025-09-09T18:00:00,26,A321,0,0
TK174,2025-09-14T23:45:00,21,A321,0,0
TK838,2025-08-25T02:45:00,34,A330,0,0
TK762,2025-09-11T04:45:00,44,A330,0,0
TK161,2025-09-23T15:00:00,44,B737,0,0
TK495,2025-09-02T18:45:00,23,A321,0,0
TK243,2025-08-21T04:30:00,0,B737,0,0
TK664,2025-09-20T15:00:00,28,A320,0,0
TK497,2025-09-12T04:30:00,0,A321,0,0
TK687,2025-10-04T09:15:00,0,A320,0,0
TK752,2025-09-03T09:00:00,0,B737,0,0
TK264,2025-09-05T18:45:00,54,A330,0,0
TK231,2025-09-07T05:45:00,5,B737,0,0
TK190,2025-10-03T18:30:00,2,A320,0,0
TK555,2025-09-02T06:00:00,0,A321,0,0
TK607,2025-08-25T23:00:00,0,B737,0,0
TK771,2025-08-29T14:00:00,45,A321,1,1
TK404,2025-09-29T14:30:00,0,A330,0,0
TK570,2025-08-17T10:45:00,0,A330,0,0
TK507,2025-09-15T20:45:00,0,A330,0,0
TK415,2025-08-24T04:00:00,5,A321,0,0
TK560,2025-09-15T15:00:00,18,B737,1,0
TK982,2025-10-08T14:00:00,55,A321,0,1
TK952,2025-09-17T21:30:00,0,A321,0,0
TK198,2025-10-12T20:45:00,5,B737,0,0
TK744,2025-09-05T02:00:00,47,A330,0,0
TK556,2025-08-28T00:30:00,44,A330,0,0
TK587,2025-09-11T01:45:00,19,B737,0,0
TK405,2025-10-01T00:15:00,0,A321,0,0
TK500,2025-08-26T14:30:00,0,A321,0,0
TK534,2025-09-04T05:45:00,7,A330,0,0
TK897,2025-09-28T18:30:00,0,A320,0,0
TK434,2025-08-14T22:15:00,0,A320,0,0
TK283,2025-09-26T09:00:00,31,A320,0,0
TK846,2025-08-31T15:30:00,19,A321,0,1
TK194,2025-10-02T21:45:00,0,A321,0,0
TK294,2025-09-11T02:30:00,0,A330,0,0
TK502,2025-09-22T04:15:00,16,A320,0,0
TK177,2025-09-17T12:30:00,0,A330,0,0
TK338,2025-08-18T10:30:00,25,A330,0,0
TK155,2025-09-21T13:15:00,0,A330,0,0
TK765,2025-09-29T23:30:00,0,B737,0,0
TK850,2025-08-14T12:15:00,0,A320,0,0
TK730,2025-09-06T09:30:00,0,A320,0,0
TK311,2025-09-18T03:15:00,0,B737,0,0
TK210,2025-09-21T01:30:00,0,B737,0,0
TK524,2025-09-06T05:45:00,0,A320,0,0
TK976,2025-10-07T04:00:00,0,B737,0,0
TK602,2025-08-26T03:15:00,0,A330,0,0
TK342,2025-09-12T07:00:00,0,A321,0,0
TK831,2025-10-02T03:30:00,0,A330,0,0
TK673,2025-08-17T01:30:00,3,A320,0,0
TK744,2025-10-07T21:45:00,0,B737,0,0
TK419,2025-09-05T04:15:00,21,A321,0,0
TK772,2025-10-07T17:45:00,50,A320,0,0
TK884,2025-10-04T10:30:00,2,B737,0,0
TK916,2025-10-08T11:15:00,25,A321,0,1
TK395,2025-09-21T07:30:00,0,A321,0,0
TK824,2025-09-06T04:30:00,0,B737,0,0
TK848,2025-09-01T17:45:00,22,A321,0,0
TK736,2025-09-05T00:30:00,0,A320,0,0
TK920,2025-09-03T07:30:00,49,B737,0,0
TK278,2025-10-05T09:45:00,19,A330,0,0
TK256,2025-09-05T00:00:00,51,A320,0,1
TK697,2025-10-11T09:00:00,0,A320,0,0
TK258,2025-08-27T03:00:00,58,B737,0,0
TK943,2025-08-29T01:30:00,0,B737,0,0
TK910,2025-09-16T04:45:00,6,A321,0,0
TK811,2025-09-20T14:15:00,0,A320,0,0
TK309,2025-09-18T00:30:00,0,A321,0,0
TK423,2025-10-08T23:00:00,0,A320,0,0
TK477,2025-10-04T21:30:00,0,A320,0,0
TK506,2025-10-12T13:00:00,0,A330,0,0
TK924,2025-10-12T21:30:00,0,A320,0,0
TK412,2025-08-21T08:30:00,62,A321,0,0
TK485,2025-10-06T17:30:00,0,A321,0,0
TK975,2025-08-15T18:15:00,0,A330,0,0
TK162,2025-08-31T21:15:00,18,A321,0,1
TK183,2025-09-02T16:45:00,97,B737,1,0
TK990,2025-08-18T18:15:00,21,A330,0,1
TK385,2025-09-27T07:30:00,12,A321,0,0
TK213,2025-09-13T05:30:00,65,A321,0,0
TK970,2025-10-10T09:15:00,0,B737,0,0
TK154,2025-09-15T17:30:00,0,A330,0,0
TK542,2025-10-05T21:00:00,0,B737,0,0
TK363,2025-09-09T02:45:00,0,A330,0,0
TK551,2025-08-22T04:15:00,37,A330,1,1
TK250,2025-09-22T18:45:00,10,A320,0,0
TK613,2025-10-12T14:00:00,0,A321,0,0
TK360,2025-09-06T05:45:00,0,A321,0,0
TK599,2025-08-16T21:45:00,18,A320,0,0
TK820,2025-08-24T18:00:00,53,B737,0,0
TK458,2025-10-04T21:15:00,0,A320,0,0
TK208,2025-09-09T22:00:00,0,A321,0,0
TK477,2025-10-01T22:00:00,36,A321,0,0
TK745,2025-09-16T07:15:00,0,A320,0,0
TK784,2025-09-26T20:45:00,0,A320,0,0
TK921,2025-08-31T00:30:00,13,A320,0,0
TK843,2025-09-08T21:15:00,56,A321,0,1
TK411,2025-09-10T03:30:00,2,A320,0,0
TK581,2025-10-04T01:00:00,23,A320,0,0
TK160,2025-08-31T07:15:00,49,B737,0,0
TK668,2025-08-19T16:30:00,2,A320,0,0
TK760,2025-09-26T22:00:00,0,A321,0,0
TK188,2025-10-01T14:30:00,0,B737,0,0
TK877,2025-09-27T06:00:00,44,A330,1,0
TK236,2025-08-23T15:45:00,0,A321,0,0
TK471,2025-09-04T02:15:00,24,A321,0,0
TK251,2025-09-08T11:45:00,22,A330,0,0
TK138,2025-09-28T23:00:00,50,A321,0,0
TK260,2025-09-27T12:15:00,0,A330,0,0
TK645,2025-09-13T22:00:00,4,A330,0,0
TK539,2025-08-30T14:00:00,0,A321,0,0
TK488,2025-10-12T16:30:00,62,A320,0,0
TK245,2025-09-06T15:00:00,0,A320,0,0
TK988,2025-09-19T03:45:00,0,A330,0,0
TK479,2025-10-07T06:45:00,0,B737,0,0
TK325,2025-09-18T06:45:00,54,A330,0,0
TK465,2025-10-03T10:15:00,10,A330,1,0
TK987,2025-10-07T04:00:00,0,A330,0,0
TK119,2025-08-16T16:00:00,0,A320,0,0
TK838,2025-09-05T12:45:00,0,A320,0,0
TK456,2025-09-09T10:00:00,115,A320,0,0
TK294,2025-09-18T01:45:00,35,A330,0,0
TK223,2025-09-28T05:45:00,0,B737,0,0
TK136,2025-08-14T15:00:00,0,A320,0,0
TK400,2025-09-11T18:15:00,13,A321,0,0
TK848,2025-09-10T05:45:00,0,A321,0,0
TK670,2025-08-26T08:00:00,0,A321,0,0
TK290,2025-09-16T05:45:00,8,A330,0,1
TK455,2025-10-11T13:00:00,0,A321,0,0
TK145,2025-09-16T16:00:00,0,A330,0,0
TK955,2025-08-29T02:45:00,27,A321,0,0
TK671,2025-09-28T04:00:00,0,B737,0,0
TK423,2025-09-16T16:45:00,67,A330,0,0
TK573,2025-08-18T17:15:00,0,A321,0,0
TK862,2025-09-08T19:00:00,54,A320,0,1
TK581,2025-08-28T01:00:00,0,A330,0,0
TK370,2025-08-19T10:45:00,0,A320,0,0
